state_territory,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,155700,88344,21284,12076,73014,9981,15206,2079
Alabama,521225,221540,10630,4518,193955,3956,27422,559
Arkansas,368650,201676,12216,6683,167788,5560,31600,1047
American Samoa,18450,6831,33130,12266,5881,10560,948,1702
Arizona,829500,360958,11396,4959,305744,4201,55014,756
Bureau of Prisons,24750,23345,N/A,N/A,18296,0,4977,0
California,4906525,2008220,12418,5083,1661683,4205,341731,865
Colorado,692700,377283,12029,6551,313211,5439,62086,1078
Connecticut,492850,306796,13824,8605,264042,7406,37098,1041
District of Columbia,91025,59793,12898,8472,47088,6672,12649,1792
Dept of Defense,677025,311567,N/A,N/A,274128,0,31730,0
Delaware,116325,60023,11946,6164,49442,5077,10448,1073
Florida,2908275,1489003,13541,6933,1333116,6207,152209,709
Federated States of Micronesia,13600,2752,13122,2655,2749,2652,3,3
Georgia,1235775,604067,11639,5689,534161,5031,59965,565
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,191575,84792,13531,5989,67990,4802,16802,1187
Iowa,361475,180110,11457,5709,151145,4791,26426,838
Idaho,181100,82640,10134,4624,68292,3821,13711,767
Indian Health Svc,357850,143678,N/A,N/A,120761,0,21677,0
Illinois,1417250,654752,11184,5167,518779,4094,128907,1017
Indiana,841725,446029,12503,6625,367944,5465,77985,1158
Kansas,348175,144909,11951,4974,122813,4216,20883,717
Kentucky,471000,270960,10542,6065,243620,5453,25566,572
Louisiana,543700,315023,11696,6776,272630,5865,41788,899
Massachusetts,859175,392967,12465,5701,334514,4853,57869,840
Maryland,742175,307411,12276,5085,272901,4514,34090,564
Maine,178450,93003,13275,6919,74110,5513,17562,1306
Marshall Islands,13600,2873,23282,4918,2840,4862,3,5
Michigan,1095675,652661,10971,6535,536228,5369,105890,1060
Minnesota,680700,305297,12070,5413,240009,4256,64768,1148
Missouri,661400,291723,10777,4753,221849,3615,68466,1116
Northern Mariana Islands,18650,8039,32787,14133,5019,8824,3016,5302
Mississippi,358100,150524,12032,5058,136902,4600,13423,451
Montana,119500,72544,11181,6788,59289,5547,13235,1238
North Carolina,1246600,577007,11886,5502,497387,4742,79197,755
North Dakota,86750,68999,11384,9054,53491,7019,14412,1891
Nebraska,238100,124069,12309,6414,103620,5357,19646,1016
New Hampshire,162950,89816,11984,6606,76609,5634,13166,968
New Jersey,989900,500889,11145,5639,437711,4928,61506,692
New Mexico,257075,184698,12260,8808,148964,7104,33133,1580
Nevada,286950,137031,9316,4449,115160,3739,20972,681
New York State,2395950,1282515,12316,6593,1105935,5685,162685,836
Ohio,1233075,594924,10549,5090,535544,4582,59153,506
Oklahoma,496350,304806,12544,7703,263315,6654,39290,993
Oregon,492450,270463,11676,6413,231606,5491,37983,901
Pennsylvania,1564125,695870,12218,5436,572228,4470,122849,960
Puerto Rico,371550,173242,11634,5425,136400,4271,35705,1118
Rhode Island,149225,63249,14086,5970,50650,4781,12580,1188
Republic of Palau,6000,2685,33506,14994,2683,14983,2,11
South Carolina,453250,249155,8803,4839,206663,4014,40812,793
South Dakota,106575,77200,12047,8727,60982,6893,16164,1827
Tennessee,838825,424152,12283,6211,335823,4917,87376,1279
Texas,3070825,1727869,10591,5959,1474571,5085,251815,868
Utah,341725,202729,10659,6324,175364,5470,20697,646
Virginia,1069725,429297,12533,5030,376378,4410,49007,574
Veterans Health,1151525,623590,N/A,N/A,529784,0,93168,0
Virgin Islands,13525,3355,12920,3205,2946,2814,409,391
Vermont,90000,49426,14423,7921,40484,6488,8877,1423
Washington,846625,436997,11118,5739,359217,4717,67127,882
Wisconsin,610100,285630,10478,4906,241512,4148,42229,725
West Virginia,243100,194844,13565,10872,156854,8752,37979,2119
Wyoming,70750,37559,12224,6490,32746,5658,4773,825
